cluster,heatwave_type,exposure,log_rr,ci_low,ci_high,display_high,common_support_high,y_min,y_max,phenotype_name,axis_expansion_factor,line_segment
1,compound,2.884,-0.1073681496560544,-0.160162365273003,-0.0545739340391057,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,2.912,-0.1080155332615065,-0.161117838611028,-0.054913227911985,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,2.94,-0.1086529963968266,-0.1620582666897143,-0.055247726103939,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,2.968,-0.1092806120066481,-0.1629837608015001,-0.0555774632117961,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,2.996,-0.1098984530356043,-0.1638944322427322,-0.0559024738284764,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,3.024,-0.1105065924283283,-0.1647903923135829,-0.0562227925430738,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,3.052,-0.1111051031294538,-0.1656717523179705,-0.0565384539409371,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,3.08,-0.1116940580836138,-0.1665386235634813,-0.0568494926037462,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,3.108,-0.1122735302354417,-0.1673911173612956,-0.0571559431095879,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,3.136,-0.112843592529571,-0.1682293450261139,-0.0574578400330281,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,3.164,-0.1134043179106348,-0.1690534178760864,-0.0577552179451831,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,3.192,-0.1139557793232665,-0.1698634472327432,-0.0580481114137898,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,3.22,-0.1144980497120995,-0.1706595444209258,-0.0583365550032732,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,3.248,-0.115031202021767,-0.1714418207687192,-0.0586205832748148,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,3.276,-0.1155553091969024,-0.1722103876073862,-0.0589002307864187,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,3.3040000000000003,-0.116070444182139,-0.1729653562712998,-0.0591755320929783,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,3.332,-0.1165766799221102,-0.1737068380978786,-0.0594465217463419,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,3.36,-0.1170740893614492,-0.1744349444275199,-0.0597132342953785,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,3.388,-0.1175627454447894,-0.1751497866035349,-0.059975704286044,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,3.416,-0.1180427211167641,-0.1758514759720818,-0.0602339662614464,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,3.444,-0.1185140893220067,-0.1765401238820998,-0.0604880547619135,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,3.472,-0.1189769230051503,-0.1772158416852417,-0.0607380043250589,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,3.5,-0.1194312951108284,-0.1778787407358068,-0.0609838494858501,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,3.528,-0.1198772785836743,-0.1785289323906715,-0.0612256247766772,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
